Time	Y	YDOT	YDOUBLEDOT	NC	LOS	LOSdot
0.0002,	0.209421,	1047.1,	-465.39,	465.39,	5.81724e-06,	0.0290868
0.0004,	0.418823,	1047.01,	-465.369,	465.369,	1.16342e-05,	0.0290856
0.0006,	0.628207,	1046.92,	-465.348,	465.348,	1.74509e-05,	0.0290843
0.0008,	0.837572,	1046.83,	-465.328,	465.328,	2.32674e-05,	0.029083
0.001,	1.04692,	1046.73,	-465.307,	465.307,	2.90836e-05,	0.0290817
0.0012,	1.25625,	1046.64,	-465.286,	465.286,	3.48996e-05,	0.0290804
0.0014,	1.46556,	1046.55,	-465.266,	465.266,	4.07153e-05,	0.0290791
0.0016,	1.67485,	1046.45,	-465.245,	465.245,	4.65307e-05,	0.0290778
0.0018,	1.88412,	1046.36,	-465.224,	465.224,	5.23459e-05,	0.0290765
0.002,	2.09337,	1046.27,	-465.204,	465.204,	5.81608e-05,	0.0290752
0.0022,	2.30261,	1046.17,	-465.183,	465.183,	6.39754e-05,	0.0290739
0.0024,	2.51182,	1046.08,	-465.162,	465.162,	6.97898e-05,	0.0290726
0.0026,	2.72102,	1045.99,	-465.142,	465.142,	7.5604e-05,	0.0290713
0.0028,	2.9302,	1045.9,	-465.121,	465.121,	8.14178e-05,	0.0290701
0.003,	3.13936,	1045.8,	-465.1,	465.1,	8.72315e-05,	0.0290688
0.0032,	3.3485,	1045.71,	-465.08,	465.08,	9.30448e-05,	0.0290675
0.0034,	3.55762,	1045.62,	-465.059,	465.059,	9.88579e-05,	0.0290662
0.0036,	3.76673,	1045.52,	-465.038,	465.038,	0.000104671,	0.0290649
0.0038,	3.97581,	1045.43,	-465.018,	465.018,	0.000110483,	0.0290636
0.004,	4.18488,	1045.34,	-464.997,	464.997,	0.000116296,	0.0290623
0.0042,	4.39393,	1045.24,	-464.976,	464.976,	0.000122108,	0.029061
0.0044,	4.60296,	1045.15,	-464.955,	464.955,	0.00012792,	0.0290597
0.0046,	4.81197,	1045.06,	-464.935,	464.935,	0.000133731,	0.0290584
0.0048,	5.02097,	1044.96,	-464.914,	464.914,	0.000139542,	0.0290571
0.005,	5.22994,	1044.87,	-464.893,	464.893,	0.000145353,	0.0290558
0.0052,	5.4389,	1044.78,	-464.873,	464.873,	0.000151164,	0.0290545
0.0054,	5.64783,	1044.69,	-464.852,	464.852,	0.000156975,	0.0290532
0.0056,	5.85675,	1044.59,	-464.831,	464.831,	0.000162785,	0.029052
0.0058,	6.06565,	1044.5,	-464.811,	464.811,	0.000168595,	0.0290507
0.006,	6.27453,	1044.41,	-464.79,	464.79,	0.000174405,	0.0290494
0.0062,	6.4834,	1044.31,	-464.769,	464.769,	0.000180214,	0.0290481
0.0064,	6.69224,	1044.22,	-464.749,	464.749,	0.000186023,	0.0290468
0.0066,	6.90106,	1044.13,	-464.728,	464.728,	0.000191832,	0.0290455
0.0068,	7.10987,	1044.04,	-464.707,	464.707,	0.000197641,	0.0290442
0.007,	7.31866,	1043.94,	-464.687,	464.687,	0.00020345,	0.0290429
0.0072,	7.52743,	1043.85,	-464.666,	464.666,	0.000209258,	0.0290416
0.0074,	7.73618,	1043.76,	-464.645,	464.645,	0.000215066,	0.0290403
0.0076,	7.94491,	1043.66,	-464.625,	464.625,	0.000220873,	0.029039
0.0078,	8.15363,	1043.57,	-464.604,	464.604,	0.000226681,	0.0290377
0.008,	8.36232,	1043.48,	-464.583,	464.583,	0.000232488,	0.0290365
0.0082,	8.571,	1043.38,	-464.563,	464.563,	0.000238295,	0.0290352
0.0084,	8.77966,	1043.29,	-464.542,	464.542,	0.000244102,	0.0290339
0.0086,	8.9883,	1043.2,	-464.521,	464.521,	0.000249908,	0.0290326
0.0088,	9.19692,	1043.11,	-464.501,	464.501,	0.000255714,	0.0290313
0.009,	9.40552,	1043.01,	-464.48,	464.48,	0.00026152,	0.02903
0.0092,	9.61411,	1042.92,	-464.459,	464.459,	0.000267326,	0.0290287
0.0094,	9.82267,	1042.83,	-464.439,	464.439,	0.000273131,	0.0290274
0.0096,	10.0312,	1042.73,	-464.418,	464.418,	0.000278936,	0.0290261
0.0098,	10.2397,	1042.64,	-464.397,	464.397,	0.000284741,	0.0290248
0.01,	10.4483,	1042.55,	-464.377,	464.377,	0.000290545,	0.0290235
0.0102,	10.6567,	1042.46,	-464.356,	464.356,	0.00029635,	0.0290223
0.0104,	10.8652,	1042.36,	-464.335,	464.335,	0.000302154,	0.029021
0.0106,	11.0737,	1042.27,	-464.315,	464.315,	0.000307958,	0.0290197
0.0108,	11.2821,	1042.18,	-464.294,	464.294,	0.000313761,	0.0290184
0.011,	11.4905,	1042.08,	-464.273,	464.273,	0.000319564,	0.0290171
0.0112,	11.6989,	1041.99,	-464.253,	464.253,	0.000325367,	0.0290158
0.0114,	11.9073,	1041.9,	-464.232,	464.232,	0.00033117,	0.0290145
0.0116,	12.1157,	1041.81,	-464.211,	464.211,	0.000336973,	0.0290132
0.0118,	12.324,	1041.71,	-464.191,	464.191,	0.000342775,	0.0290119
0.012,	12.5323,	1041.62,	-464.17,	464.17,	0.000348577,	0.0290106
0.0122,	12.7406,	1041.53,	-464.149,	464.149,	0.000354379,	0.0290093
0.0124,	12.9489,	1041.43,	-464.129,	464.129,	0.00036018,	0.029008
0.0126,	13.1572,	1041.34,	-464.108,	464.108,	0.000365981,	0.0290068
0.0128,	13.3654,	1041.25,	-464.087,	464.087,	0.000371782,	0.0290055
0.013,	13.5737,	1041.16,	-464.067,	464.067,	0.000377583,	0.0290042
0.0132,	13.7819,	1041.06,	-464.046,	464.046,	0.000383384,	0.0290029
0.0134,	13.9901,	1040.97,	-464.026,	464.026,	0.000389184,	0.0290016
0.0136,	14.1983,	1040.88,	-464.005,	464.005,	0.000394984,	0.0290003
0.0138,	14.4064,	1040.78,	-463.984,	463.984,	0.000400783,	0.028999
0.014,	14.6146,	1040.69,	-463.964,	463.964,	0.000406583,	0.0289977
0.0142,	14.8227,	1040.6,	-463.943,	463.943,	0.000412382,	0.0289964
0.0144,	15.0308,	1040.51,	-463.922,	463.922,	0.000418181,	0.0289951
0.0146,	15.2389,	1040.41,	-463.902,	463.902,	0.000423979,	0.0289939
0.0148,	15.4469,	1040.32,	-463.881,	463.881,	0.000429778,	0.0289926
0.015,	15.655,	1040.23,	-463.86,	463.86,	0.000435576,	0.0289913
0.0152,	15.863,	1040.14,	-463.84,	463.84,	0.000441374,	0.02899
0.0154,	16.071,	1040.04,	-463.819,	463.819,	0.000447171,	0.0289887
0.0156,	16.279,	1039.95,	-463.798,	463.798,	0.000452969,	0.0289874
0.0158,	16.487,	1039.86,	-463.778,	463.778,	0.000458766,	0.0289861
0.016,	16.6949,	1039.76,	-463.757,	463.757,	0.000464563,	0.0289848
0.0162,	16.9028,	1039.67,	-463.736,	463.736,	0.000470359,	0.0289835
0.0164,	17.1108,	1039.58,	-463.716,	463.716,	0.000476156,	0.0289822
0.0166,	17.3187,	1039.49,	-463.695,	463.695,	0.000481952,	0.0289809
0.0168,	17.5265,	1039.39,	-463.674,	463.674,	0.000487747,	0.0289796
0.017,	17.7344,	1039.3,	-463.654,	463.654,	0.000493543,	0.0289784
0.0172,	17.9422,	1039.21,	-463.633,	463.633,	0.000499338,	0.0289771
0.0174,	18.1501,	1039.11,	-463.612,	463.612,	0.000505133,	0.0289758
0.0176,	18.3579,	1039.02,	-463.592,	463.592,	0.000510928,	0.0289745
0.0178,	18.5657,	1038.93,	-463.571,	463.571,	0.000516723,	0.0289732
0.018,	18.7734,	1038.84,	-463.55,	463.55,	0.000522517,	0.0289719
0.0182,	18.9812,	1038.74,	-463.53,	463.53,	0.000528311,	0.0289706
0.0184,	19.1889,	1038.65,	-463.509,	463.509,	0.000534105,	0.0289693
0.0186,	19.3966,	1038.56,	-463.489,	463.489,	0.000539898,	0.028968
0.0188,	19.6043,	1038.47,	-463.468,	463.468,	0.000545691,	0.0289667
0.019,	19.812,	1038.37,	-463.447,	463.447,	0.000551484,	0.0289655
0.0192,	20.0196,	1038.28,	-463.427,	463.427,	0.000557277,	0.0289642
0.0194,	20.2273,	1038.19,	-463.406,	463.406,	0.000563069,	0.0289629
0.0196,	20.4349,	1038.1,	-463.385,	463.385,	0.000568861,	0.0289616
0.0198,	20.6425,	1038,	-463.365,	463.365,	0.000574654,	0.0289603
0.02,	20.8501,	1037.91,	-463.344,	463.344,	0.000580445,	0.028959
0.0202,	21.0576,	1037.82,	-463.324,	463.324,	0.000586237,	0.0289577
0.0204,	21.2652,	1037.72,	-463.303,	463.303,	0.000592028,	0.0289564
0.0206,	21.4727,	1037.63,	-463.282,	463.282,	0.000597819,	0.0289551
0.0208,	21.6802,	1037.54,	-463.262,	463.262,	0.000603609,	0.0289539
0.021,	21.8877,	1037.45,	-463.241,	463.241,	0.0006094,	0.0289526
0.0212,	22.0952,	1037.35,	-463.22,	463.22,	0.00061519,	0.0289513
0.0214,	22.3026,	1037.26,	-463.2,	463.2,	0.00062098,	0.02895
0.0216,	22.5101,	1037.17,	-463.179,	463.179,	0.000626769,	0.0289487
0.0218,	22.7175,	1037.08,	-463.158,	463.158,	0.000632559,	0.0289474
0.022,	22.9249,	1036.98,	-463.138,	463.138,	0.000638348,	0.0289461
0.0222,	23.1323,	1036.89,	-463.117,	463.117,	0.000644137,	0.0289448
0.0224,	23.3396,	1036.8,	-463.096,	463.096,	0.000649925,	0.0289435
0.0226,	23.547,	1036.71,	-463.076,	463.076,	0.000655713,	0.0289422
0.0228,	23.7543,	1036.61,	-463.055,	463.055,	0.000661501,	0.028941
0.023,	23.9616,	1036.52,	-463.035,	463.035,	0.000667289,	0.0289397
0.0232,	24.1689,	1036.43,	-463.014,	463.014,	0.000673077,	0.0289384
0.0234,	24.3761,	1036.34,	-462.993,	462.993,	0.000678864,	0.0289371
0.0236,	24.5834,	1036.24,	-462.973,	462.973,	0.000684651,	0.0289358
0.0238,	24.7906,	1036.15,	-462.952,	462.952,	0.000690438,	0.0289345
0.024,	24.9978,	1036.06,	-462.931,	462.931,	0.000696224,	0.0289332
0.0242,	25.205,	1035.96,	-462.911,	462.911,	0.000702011,	0.0289319
0.0244,	25.4122,	1035.87,	-462.89,	462.89,	0.000707797,	0.0289306
0.0246,	25.6193,	1035.78,	-462.869,	462.869,	0.000713582,	0.0289293
0.0248,	25.8265,	1035.69,	-462.849,	462.849,	0.000719368,	0.0289281
0.025,	26.0336,	1035.59,	-462.828,	462.828,	0.000725153,	0.0289268
0.0252,	26.2407,	1035.5,	-462.808,	462.808,	0.000730938,	0.0289255
0.0254,	26.4478,	1035.41,	-462.787,	462.787,	0.000736723,	0.0289242
0.0256,	26.6549,	1035.32,	-462.766,	462.766,	0.000742507,	0.0289229
0.0258,	26.8619,	1035.22,	-462.746,	462.746,	0.000748291,	0.0289216
0.026,	27.0689,	1035.13,	-462.725,	462.725,	0.000754075,	0.0289203
0.0262,	27.2759,	1035.04,	-462.705,	462.705,	0.000759859,	0.028919
0.0264,	27.4829,	1034.95,	-462.684,	462.684,	0.000765642,	0.0289177
0.0266,	27.6899,	1034.85,	-462.663,	462.663,	0.000771425,	0.0289165
0.0268,	27.8968,	1034.76,	-462.643,	462.643,	0.000777209,	0.0289152
0.027,	28.1038,	1034.67,	-462.622,	462.622,	0.000782991,	0.0289139
0.0272,	28.3107,	1034.58,	-462.601,	462.601,	0.000788774,	0.0289126
0.0274,	28.5176,	1034.48,	-462.581,	462.581,	0.000794556,	0.0289113
0.0276,	28.7245,	1034.39,	-462.56,	462.56,	0.000800338,	0.02891
0.0278,	28.9313,	1034.3,	-462.54,	462.54,	0.000806119,	0.0289087
0.028,	29.1382,	1034.21,	-462.519,	462.519,	0.0008119,	0.0289074
0.0282,	29.345,	1034.11,	-462.498,	462.498,	0.000817682,	0.0289061
0.0284,	29.5518,	1034.02,	-462.478,	462.478,	0.000823462,	0.0289049
0.0286,	29.7586,	1033.93,	-462.457,	462.457,	0.000829243,	0.0289036
0.0288,	29.9653,	1033.84,	-462.436,	462.436,	0.000835023,	0.0289023
0.029,	30.1721,	1033.74,	-462.416,	462.416,	0.000840803,	0.028901
0.0292,	30.3788,	1033.65,	-462.395,	462.395,	0.000846583,	0.0288997
0.0294,	30.5855,	1033.56,	-462.374,	462.374,	0.000852363,	0.0288984
0.0296,	30.7922,	1033.47,	-462.354,	462.354,	0.000858142,	0.0288971
0.0298,	30.9989,	1033.37,	-462.333,	462.333,	0.000863921,	0.0288958
0.03,	31.2056,	1033.28,	-462.313,	462.313,	0.0008697,	0.0288945
0.0302,	31.4122,	1033.19,	-462.292,	462.292,	0.000875478,	0.0288932
0.0304,	31.6188,	1033.1,	-462.271,	462.271,	0.000881257,	0.028892
0.0306,	31.8254,	1033,	-462.251,	462.251,	0.000887035,	0.0288907
0.0308,	32.032,	1032.91,	-462.23,	462.23,	0.000892812,	0.0288894
0.031,	32.2386,	1032.82,	-462.21,	462.21,	0.00089859,	0.0288881
0.0312,	32.4451,	1032.73,	-462.189,	462.189,	0.000904367,	0.0288868
0.0314,	32.6516,	1032.63,	-462.168,	462.168,	0.000910144,	0.0288855
0.0316,	32.8581,	1032.54,	-462.148,	462.148,	0.000915921,	0.0288842
0.0318,	33.0646,	1032.45,	-462.127,	462.127,	0.000921697,	0.028883
0.032,	33.2711,	1032.36,	-462.107,	462.107,	0.000927474,	0.0288817
0.0322,	33.4776,	1032.26,	-462.086,	462.086,	0.000933249,	0.0288804
0.0324,	33.684,	1032.17,	-462.065,	462.065,	0.000939025,	0.0288791
0.0326,	33.8904,	1032.08,	-462.045,	462.045,	0.000944801,	0.0288778
0.0328,	34.0968,	1031.99,	-462.024,	462.024,	0.000950576,	0.0288765
0.033,	34.3032,	1031.9,	-462.004,	462.004,	0.000956351,	0.0288752
0.0332,	34.5095,	1031.8,	-461.983,	461.983,	0.000962125,	0.0288739
0.0334,	34.7159,	1031.71,	-461.962,	461.962,	0.0009679,	0.0288726
0.0336,	34.9222,	1031.62,	-461.942,	461.942,	0.000973674,	0.0288714
0.0338,	35.1285,	1031.53,	-461.921,	461.921,	0.000979448,	0.0288701
0.034,	35.3348,	1031.43,	-461.9,	461.9,	0.000985221,	0.0288688
0.0342,	35.5411,	1031.34,	-461.88,	461.88,	0.000990995,	0.0288675
0.0344,	35.7473,	1031.25,	-461.859,	461.859,	0.000996768,	0.0288662
0.0346,	35.9536,	1031.16,	-461.839,	461.839,	0.00100254,	0.0288649
0.0348,	36.1598,	1031.06,	-461.818,	461.818,	0.00100831,	0.0288636
0.035,	36.366,	1030.97,	-461.797,	461.797,	0.00101409,	0.0288623
0.0352,	36.5721,	1030.88,	-461.777,	461.777,	0.00101986,	0.028861
0.0354,	36.7783,	1030.79,	-461.756,	461.756,	0.00102563,	0.0288598
0.0356,	36.9844,	1030.69,	-461.735,	461.735,	0.0010314,	0.0288585
0.0358,	37.1906,	1030.6,	-461.715,	461.715,	0.00103717,	0.0288572
0.036,	37.3967,	1030.51,	-461.694,	461.694,	0.00104294,	0.0288559
0.0362,	37.6027,	1030.42,	-461.674,	461.674,	0.00104871,	0.0288546
0.0364,	37.8088,	1030.32,	-461.653,	461.653,	0.00105448,	0.0288533
0.0366,	38.0149,	1030.23,	-461.633,	461.633,	0.00106026,	0.028852
0.0368,	38.2209,	1030.14,	-461.612,	461.612,	0.00106603,	0.0288507
0.037,	38.4269,	1030.05,	-461.591,	461.591,	0.00107179,	0.0288495
0.0372,	38.6329,	1029.96,	-461.571,	461.571,	0.00107756,	0.0288482
0.0374,	38.8388,	1029.86,	-461.55,	461.55,	0.00108333,	0.0288469
0.0376,	39.0448,	1029.77,	-461.53,	461.53,	0.0010891,	0.0288456
0.0378,	39.2507,	1029.68,	-461.509,	461.509,	0.00109487,	0.0288443
0.038,	39.4567,	1029.59,	-461.488,	461.488,	0.00110064,	0.028843
0.0382,	39.6626,	1029.49,	-461.468,	461.468,	0.00110641,	0.0288417
0.0383999,	39.8684,	1029.4,	-461.447,	461.447,	0.00111218,	0.0288405
0.0385999,	40.0743,	1029.31,	-461.427,	461.427,	0.00111794,	0.0288392
0.0387999,	40.2801,	1029.22,	-461.406,	461.406,	0.00112371,	0.0288379
0.0389999,	40.486,	1029.12,	-461.385,	461.385,	0.00112948,	0.0288366
0.0391999,	40.6918,	1029.03,	-461.365,	461.365,	0.00113525,	0.0288353
0.0393999,	40.8976,	1028.94,	-461.344,	461.344,	0.00114101,	0.028834
0.0395999,	41.1033,	1028.85,	-461.324,	461.324,	0.00114678,	0.0288327
0.0397999,	41.3091,	1028.76,	-461.303,	461.303,	0.00115254,	0.0288314
0.0399999,	41.5148,	1028.66,	-461.282,	461.282,	0.00115831,	0.0288302
0.0401999,	41.7205,	1028.57,	-461.262,	461.262,	0.00116408,	0.0288289
0.0403999,	41.9262,	1028.48,	-461.241,	461.241,	0.00116984,	0.0288276
0.0405999,	42.1319,	1028.39,	-461.221,	461.221,	0.00117561,	0.0288263
0.0407999,	42.3376,	1028.29,	-461.2,	461.2,	0.00118137,	0.028825
0.0409999,	42.5432,	1028.2,	-461.179,	461.179,	0.00118714,	0.0288237
0.0411999,	42.7488,	1028.11,	-461.159,	461.159,	0.0011929,	0.0288224
0.0413999,	42.9544,	1028.02,	-461.138,	461.138,	0.00119866,	0.0288211
0.0415999,	43.16,	1027.93,	-461.118,	461.118,	0.00120443,	0.0288198
0.0417999,	43.3656,	1027.83,	-461.097,	461.097,	0.00121019,	0.0288186
0.0419999,	43.5711,	1027.74,	-461.076,	461.076,	0.00121596,	0.0288173
0.0421999,	43.7767,	1027.65,	-461.056,	461.056,	0.00122172,	0.028816
0.0423999,	43.9822,	1027.56,	-461.035,	461.035,	0.00122748,	0.0288147
0.0425999,	44.1877,	1027.46,	-461.015,	461.015,	0.00123324,	0.0288134
0.0427999,	44.3931,	1027.37,	-460.994,	460.994,	0.00123901,	0.0288121
0.0429999,	44.5986,	1027.28,	-460.974,	460.974,	0.00124477,	0.0288108
0.0431999,	44.804,	1027.19,	-460.953,	460.953,	0.00125053,	0.0288096
0.0433999,	45.0094,	1027.1,	-460.932,	460.932,	0.00125629,	0.0288083
0.0435999,	45.2148,	1027,	-460.912,	460.912,	0.00126205,	0.028807
0.0437999,	45.4202,	1026.91,	-460.891,	460.891,	0.00126781,	0.0288057
0.0439999,	45.6256,	1026.82,	-460.871,	460.871,	0.00127357,	0.0288044
0.0441999,	45.8309,	1026.73,	-460.85,	460.85,	0.00127933,	0.0288031
0.0443999,	46.0363,	1026.64,	-460.83,	460.83,	0.0012851,	0.0288018
0.0445999,	46.2416,	1026.54,	-460.809,	460.809,	0.00129085,	0.0288006
0.0447999,	46.4469,	1026.45,	-460.788,	460.788,	0.00129661,	0.0287993
0.0449999,	46.6521,	1026.36,	-460.768,	460.768,	0.00130237,	0.028798
0.0451999,	46.8574,	1026.27,	-460.747,	460.747,	0.00130813,	0.0287967
0.0453999,	47.0626,	1026.17,	-460.727,	460.727,	0.00131389,	0.0287954
0.0455999,	47.2678,	1026.08,	-460.706,	460.706,	0.00131965,	0.0287941
0.0457999,	47.473,	1025.99,	-460.685,	460.685,	0.00132541,	0.0287928
0.0459999,	47.6782,	1025.9,	-460.665,	460.665,	0.00133117,	0.0287916
0.0461999,	47.8834,	1025.81,	-460.644,	460.644,	0.00133693,	0.0287903
0.0463999,	48.0885,	1025.71,	-460.624,	460.624,	0.00134268,	0.028789
0.0465999,	48.2936,	1025.62,	-460.603,	460.603,	0.00134844,	0.0287877
0.0467999,	48.4988,	1025.53,	-460.582,	460.582,	0.0013542,	0.0287864
0.0469999,	48.7038,	1025.44,	-460.562,	460.562,	0.00135995,	0.0287851
0.0471999,	48.9089,	1025.34,	-460.541,	460.541,	0.00136571,	0.0287838
0.0473999,	49.114,	1025.25,	-460.521,	460.521,	0.00137147,	0.0287825
0.0475999,	49.319,	1025.16,	-460.5,	460.5,	0.00137722,	0.0287813
0.0477999,	49.524,	1025.07,	-460.48,	460.48,	0.00138298,	0.02878
0.0479999,	49.729,	1024.98,	-460.459,	460.459,	0.00138874,	0.0287787
0.0481999,	49.934,	1024.88,	-460.438,	460.438,	0.00139449,	0.0287774
0.0483999,	50.1389,	1024.79,	-460.418,	460.418,	0.00140025,	0.0287761
0.0485999,	50.3439,	1024.7,	-460.397,	460.397,	0.001406,	0.0287748
0.0487999,	50.5488,	1024.61,	-460.377,	460.377,	0.00141176,	0.0287735
0.0489999,	50.7537,	1024.52,	-460.356,	460.356,	0.00141751,	0.0287723
0.0491999,	50.9586,	1024.42,	-460.336,	460.336,	0.00142326,	0.028771
0.0493999,	51.1634,	1024.33,	-460.315,	460.315,	0.00142902,	0.0287697
0.0495999,	51.3683,	1024.24,	-460.295,	460.295,	0.00143477,	0.0287684
0.0497999,	51.5731,	1024.15,	-460.274,	460.274,	0.00144052,	0.0287671
0.0499999,	51.7779,	1024.06,	-460.253,	460.253,	0.00144628,	0.0287658
0.0501999,	51.9827,	1023.96,	-460.233,	460.233,	0.00145203,	0.0287646
0.0503999,	52.1875,	1023.87,	-460.212,	460.212,	0.00145778,	0.0287633
0.0505999,	52.3923,	1023.78,	-460.192,	460.192,	0.00146353,	0.028762
0.0507999,	52.597,	1023.69,	-460.171,	460.171,	0.00146929,	0.0287607
0.0509999,	52.8017,	1023.6,	-460.151,	460.151,	0.00147504,	0.0287594
0.0511999,	53.0064,	1023.5,	-460.13,	460.13,	0.00148079,	0.0287581
0.0513999,	53.2111,	1023.41,	-460.109,	460.109,	0.00148654,	0.0287568
0.0515999,	53.4158,	1023.32,	-460.089,	460.089,	0.00149229,	0.0287556
0.0517999,	53.6204,	1023.23,	-460.068,	460.068,	0.00149804,	0.0287543
0.0519999,	53.825,	1023.14,	-460.048,	460.048,	0.00150379,	0.028753
0.0521999,	54.0296,	1023.04,	-460.027,	460.027,	0.00150954,	0.0287517
0.0523999,	54.2342,	1022.95,	-460.007,	460.007,	0.00151529,	0.0287504
0.0525999,	54.4388,	1022.86,	-459.986,	459.986,	0.00152104,	0.0287491
0.0527999,	54.6434,	1022.77,	-459.965,	459.965,	0.00152679,	0.0287478
0.0529999,	54.8479,	1022.68,	-459.945,	459.945,	0.00153254,	0.0287466
0.0531999,	55.0524,	1022.58,	-459.924,	459.924,	0.00153829,	0.0287453
0.0533999,	55.2569,	1022.49,	-459.904,	459.904,	0.00154404,	0.028744
0.0535999,	55.4614,	1022.4,	-459.883,	459.883,	0.00154979,	0.0287427
0.0537999,	55.6659,	1022.31,	-459.863,	459.863,	0.00155554,	0.0287414
0.0539999,	55.8703,	1022.22,	-459.842,	459.842,	0.00156128,	0.0287401
0.0541999,	56.0747,	1022.12,	-459.822,	459.822,	0.00156703,	0.0287388
0.0543999,	56.2791,	1022.03,	-459.801,	459.801,	0.00157278,	0.0287376
0.0545999,	56.4835,	1021.94,	-459.78,	459.78,	0.00157853,	0.0287363
0.0547999,	56.6879,	1021.85,	-459.76,	459.76,	0.00158427,	0.028735
0.0549999,	56.8922,	1021.76,	-459.739,	459.739,	0.00159002,	0.0287337
0.0551999,	57.0966,	1021.66,	-459.719,	459.719,	0.00159577,	0.0287324
0.0553999,	57.3009,	1021.57,	-459.698,	459.698,	0.00160151,	0.0287311
0.0555999,	57.5052,	1021.48,	-459.678,	459.678,	0.00160726,	0.0287298
0.0557999,	57.7095,	1021.39,	-459.657,	459.657,	0.001613,	0.0287286
0.0559999,	57.9137,	1021.3,	-459.636,	459.636,	0.00161875,	0.0287273
0.0561999,	58.118,	1021.2,	-459.616,	459.616,	0.00162449,	0.028726
0.0563999,	58.3222,	1021.11,	-459.595,	459.595,	0.00163024,	0.0287247
0.0565999,	58.5264,	1021.02,	-459.575,	459.575,	0.00163598,	0.0287234
0.0567999,	58.7306,	1020.93,	-459.554,	459.554,	0.00164173,	0.0287221
0.0569999,	58.9347,	1020.84,	-459.534,	459.534,	0.00164747,	0.0287209
0.0571999,	59.1389,	1020.74,	-459.513,	459.513,	0.00165322,	0.0287196
0.0573999,	59.343,	1020.65,	-459.493,	459.493,	0.00165896,	0.0287183
0.0575999,	59.5471,	1020.56,	-459.472,	459.472,	0.0016647,	0.028717
0.0577999,	59.7512,	1020.47,	-459.451,	459.451,	0.00167045,	0.0287157
0.0579999,	59.9553,	1020.38,	-459.431,	459.431,	0.00167619,	0.0287144
0.0581999,	60.1594,	1020.29,	-459.41,	459.41,	0.00168193,	0.0287131
0.0583999,	60.3634,	1020.19,	-459.39,	459.39,	0.00168767,	0.0287119
0.0585999,	60.5674,	1020.1,	-459.369,	459.369,	0.00169341,	0.0287106
0.0587999,	60.7714,	1020.01,	-459.349,	459.349,	0.00169916,	0.0287093
0.0589999,	60.9754,	1019.92,	-459.328,	459.328,	0.0017049,	0.028708
0.0591999,	61.1794,	1019.83,	-459.308,	459.308,	0.00171064,	0.0287067
0.0593999,	61.3833,	1019.73,	-459.287,	459.287,	0.00171638,	0.0287054
0.0595999,	61.5872,	1019.64,	-459.266,	459.266,	0.00172212,	0.0287042
0.0597999,	61.7912,	1019.55,	-459.246,	459.246,	0.00172786,	0.0287029
0.0599999,	61.995,	1019.46,	-459.225,	459.225,	0.0017336,	0.0287016
0.0601999,	62.1989,	1019.37,	-459.205,	459.205,	0.00173934,	0.0287003
0.0603999,	62.4028,	1019.27,	-459.184,	459.184,	0.00174508,	0.028699
0.0605999,	62.6066,	1019.18,	-459.164,	459.164,	0.00175082,	0.0286977
0.0607999,	62.8104,	1019.09,	-459.143,	459.143,	0.00175656,	0.0286964
0.0609999,	63.0142,	1019,	-459.123,	459.123,	0.0017623,	0.0286952
0.0611999,	63.218,	1018.91,	-459.102,	459.102,	0.00176804,	0.0286939
0.0613999,	63.4218,	1018.82,	-459.082,	459.082,	0.00177378,	0.0286926
0.0615999,	63.6255,	1018.72,	-459.061,	459.061,	0.00177951,	0.0286913
0.0617999,	63.8292,	1018.63,	-459.04,	459.04,	0.00178525,	0.02869
0.0619999,	64.033,	1018.54,	-459.02,	459.02,	0.00179099,	0.0286887
0.0621999,	64.2366,	1018.45,	-458.999,	458.999,	0.00179673,	0.0286875
0.0623999,	64.4403,	1018.36,	-458.979,	458.979,	0.00180246,	0.0286862
0.0625999,	64.644,	1018.26,	-458.958,	458.958,	0.0018082,	0.0286849
0.0627999,	64.8476,	1018.17,	-458.938,	458.938,	0.00181394,	0.0286836
0.0629999,	65.0512,	1018.08,	-458.917,	458.917,	0.00181967,	0.0286823
0.0631999,	65.2548,	1017.99,	-458.897,	458.897,	0.00182541,	0.028681
0.0633999,	65.4584,	1017.9,	-458.876,	458.876,	0.00183115,	0.0286798
0.0635999,	65.662,	1017.81,	-458.856,	458.856,	0.00183688,	0.0286785
0.0637999,	65.8655,	1017.71,	-458.835,	458.835,	0.00184262,	0.0286772
0.0639999,	66.069,	1017.62,	-458.815,	458.815,	0.00184835,	0.0286759
0.0641999,	66.2725,	1017.53,	-458.794,	458.794,	0.00185409,	0.0286746
0.0643999,	66.476,	1017.44,	-458.773,	458.773,	0.00185982,	0.0286733
0.0645999,	66.6795,	1017.35,	-458.753,	458.753,	0.00186556,	0.0286721
0.0647999,	66.8829,	1017.26,	-458.732,	458.732,	0.00187129,	0.0286708
0.065,	67.0864,	1017.16,	-458.712,	458.712,	0.00187702,	0.0286695
0.0652,	67.2898,	1017.07,	-458.691,	458.691,	0.00188276,	0.0286682
0.0654,	67.4932,	1016.98,	-458.671,	458.671,	0.00188849,	0.0286669
0.0656,	67.6966,	1016.89,	-458.65,	458.65,	0.00189422,	0.0286656
0.0658,	67.8999,	1016.8,	-458.63,	458.63,	0.00189996,	0.0286644
0.066,	68.1033,	1016.7,	-458.609,	458.609,	0.00190569,	0.0286631
0.0662,	68.3066,	1016.61,	-458.589,	458.589,	0.00191142,	0.0286618
