Time	Y	YDOT	YDOUBLEDOT	NC	LOS	LOSdot
5.68651,	1098.48,	-279.372,	-62.9188,	62.9188,	0.0828738,	0.00393242
5.68671,	1098.42,	-279.384,	-62.9111,	62.9111,	0.0828746,	0.00393195
5.68691,	1098.37,	-279.397,	-62.9035,	62.9035,	0.0828754,	0.00393147
5.68711,	1098.31,	-279.41,	-62.8959,	62.8959,	0.0828762,	0.00393099
5.68731,	1098.25,	-279.422,	-62.8883,	62.8883,	0.082877,	0.00393052
5.68751,	1098.2,	-279.435,	-62.8806,	62.8806,	0.0828777,	0.00393004
5.68771,	1098.14,	-279.447,	-62.873,	62.873,	0.0828785,	0.00392956
5.6879,	1098.09,	-279.46,	-62.8654,	62.8654,	0.0828793,	0.00392909
5.6881,	1098.03,	-279.472,	-62.8577,	62.8577,	0.0828801,	0.00392861
5.6883,	1097.97,	-279.485,	-62.8501,	62.8501,	0.0828809,	0.00392813
5.6885,	1097.92,	-279.498,	-62.8425,	62.8425,	0.0828816,	0.00392766
5.6887,	1097.86,	-279.51,	-62.8349,	62.8349,	0.0828824,	0.00392718
5.6889,	1097.81,	-279.523,	-62.8272,	62.8272,	0.0828832,	0.0039267
5.6891,	1097.75,	-279.535,	-62.8196,	62.8196,	0.082884,	0.00392623
5.6893,	1097.69,	-279.548,	-62.812,	62.812,	0.0828848,	0.00392575
5.6895,	1097.64,	-279.56,	-62.8043,	62.8043,	0.0828855,	0.00392527
5.6897,	1097.58,	-279.573,	-62.7967,	62.7967,	0.0828863,	0.00392479
5.6899,	1097.53,	-279.586,	-62.7891,	62.7891,	0.0828871,	0.00392432
5.6901,	1097.47,	-279.598,	-62.7815,	62.7815,	0.0828879,	0.00392384
5.6903,	1097.42,	-279.611,	-62.7739,	62.7739,	0.0828887,	0.00392337
5.6905,	1097.36,	-279.623,	-62.7663,	62.7663,	0.0828894,	0.00392289
5.6907,	1097.3,	-279.636,	-62.7587,	62.7587,	0.0828902,	0.00392242
5.6909,	1097.25,	-279.648,	-62.7511,	62.7511,	0.082891,	0.00392194
5.6911,	1097.19,	-279.661,	-62.7435,	62.7435,	0.0828918,	0.00392147
5.6913,	1097.14,	-279.673,	-62.7359,	62.7359,	0.0828926,	0.00392099
5.6915,	1097.08,	-279.686,	-62.7283,	62.7283,	0.0828933,	0.00392052
5.6917,	1097.02,	-279.698,	-62.7207,	62.7207,	0.0828941,	0.00392004
5.6919,	1096.97,	-279.711,	-62.7131,	62.7131,	0.0828949,	0.00391957
5.6921,	1096.91,	-279.724,	-62.7055,	62.7055,	0.0828957,	0.0039191
5.6923,	1096.86,	-279.736,	-62.6979,	62.6979,	0.0828965,	0.00391862
5.6925,	1096.8,	-279.749,	-62.6903,	62.6903,	0.0828973,	0.00391815
5.6927,	1096.74,	-279.761,	-62.6827,	62.6827,	0.082898,	0.00391767
5.6929,	1096.69,	-279.774,	-62.6751,	62.6751,	0.0828988,	0.0039172
5.6931,	1096.63,	-279.786,	-62.6675,	62.6675,	0.0828996,	0.00391672
5.6933,	1096.58,	-279.799,	-62.6599,	62.6599,	0.0829004,	0.00391624
5.6935,	1096.52,	-279.811,	-62.6523,	62.6523,	0.0829012,	0.00391577
5.6937,	1096.46,	-279.824,	-62.6447,	62.6447,	0.0829019,	0.00391529
5.6939,	1096.41,	-279.836,	-62.6371,	62.6371,	0.0829027,	0.00391482
5.6941,	1096.35,	-279.849,	-62.6295,	62.6295,	0.0829035,	0.00391434
5.6943,	1096.3,	-279.861,	-62.6219,	62.6219,	0.0829043,	0.00391387
5.6945,	1096.24,	-279.874,	-62.6143,	62.6143,	0.082905,	0.00391339
5.6947,	1096.18,	-279.887,	-62.6067,	62.6067,	0.0829058,	0.00391292
5.6949,	1096.13,	-279.899,	-62.599,	62.599,	0.0829066,	0.00391244
5.6951,	1096.07,	-279.912,	-62.5914,	62.5914,	0.0829074,	0.00391197
5.6953,	1096.02,	-279.924,	-62.5838,	62.5838,	0.0829081,	0.00391149
5.6955,	1095.96,	-279.937,	-62.5762,	62.5762,	0.0829089,	0.00391101
5.6957,	1095.9,	-279.949,	-62.5686,	62.5686,	0.0829097,	0.00391054
5.6959,	1095.85,	-279.962,	-62.561,	62.561,	0.0829105,	0.00391006
5.6961,	1095.79,	-279.974,	-62.5534,	62.5534,	0.0829112,	0.00390958
5.6963,	1095.74,	-279.987,	-62.5458,	62.5458,	0.082912,	0.00390911
5.6965,	1095.68,	-279.999,	-62.5381,	62.5381,	0.0829128,	0.00390863
5.6967,	1095.62,	-280.012,	-62.5305,	62.5305,	0.0829136,	0.00390816
5.6969,	1095.57,	-280.024,	-62.5229,	62.5229,	0.0829143,	0.00390768
5.6971,	1095.51,	-280.037,	-62.5153,	62.5153,	0.0829151,	0.0039072
5.6973,	1095.46,	-280.049,	-62.5077,	62.5077,	0.0829159,	0.00390673
5.69749,	1095.4,	-280.062,	-62.5,	62.5,	0.0829167,	0.00390625
5.69769,	1095.34,	-280.074,	-62.4924,	62.4924,	0.0829174,	0.00390578
5.69789,	1095.29,	-280.087,	-62.4848,	62.4848,	0.0829182,	0.0039053
5.69809,	1095.23,	-280.099,	-62.4772,	62.4772,	0.082919,	0.00390482
5.69829,	1095.18,	-280.112,	-62.4696,	62.4696,	0.0829198,	0.00390435
5.69849,	1095.12,	-280.124,	-62.462,	62.462,	0.0829205,	0.00390388
5.69869,	1095.06,	-280.137,	-62.4544,	62.4544,	0.0829213,	0.0039034
5.69889,	1095.01,	-280.149,	-62.4468,	62.4468,	0.0829221,	0.00390293
5.69909,	1094.95,	-280.162,	-62.4392,	62.4392,	0.0829229,	0.00390245
5.69929,	1094.9,	-280.174,	-62.4317,	62.4317,	0.0829236,	0.00390198
5.69949,	1094.84,	-280.187,	-62.4241,	62.4241,	0.0829244,	0.0039015
5.69969,	1094.78,	-280.199,	-62.4165,	62.4165,	0.0829252,	0.00390103
5.69989,	1094.73,	-280.212,	-62.4089,	62.4089,	0.082926,	0.00390056
5.70009,	1094.67,	-280.224,	-62.4013,	62.4013,	0.0829267,	0.00390008
5.70029,	1094.62,	-280.237,	-62.3937,	62.3937,	0.0829275,	0.00389961
5.70049,	1094.56,	-280.249,	-62.3861,	62.3861,	0.0829283,	0.00389913
5.70069,	1094.5,	-280.261,	-62.3786,	62.3786,	0.0829291,	0.00389866
5.70089,	1094.45,	-280.274,	-62.3709,	62.3709,	0.0829298,	0.00389818
5.70109,	1094.39,	-280.286,	-62.3634,	62.3634,	0.0829306,	0.00389771
5.70129,	1094.34,	-280.299,	-62.3558,	62.3558,	0.0829314,	0.00389724
5.70149,	1094.28,	-280.311,	-62.3482,	62.3482,	0.0829322,	0.00389676
5.70169,	1094.22,	-280.324,	-62.3406,	62.3406,	0.0829329,	0.00389629
5.70189,	1094.17,	-280.336,	-62.333,	62.333,	0.0829337,	0.00389581
5.70209,	1094.11,	-280.349,	-62.3254,	62.3254,	0.0829345,	0.00389534
5.70229,	1094.06,	-280.361,	-62.3178,	62.3178,	0.0829353,	0.00389486
5.70249,	1094,	-280.374,	-62.3103,	62.3103,	0.0829361,	0.00389439
5.70269,	1093.94,	-280.386,	-62.3027,	62.3027,	0.0829368,	0.00389392
5.70289,	1093.89,	-280.399,	-62.2952,	62.2952,	0.0829376,	0.00389345
5.70309,	1093.83,	-280.411,	-62.2876,	62.2876,	0.0829384,	0.00389298
5.70329,	1093.78,	-280.424,	-62.28,	62.28,	0.0829392,	0.0038925
5.70349,	1093.72,	-280.436,	-62.2725,	62.2725,	0.0829399,	0.00389203
5.70369,	1093.66,	-280.448,	-62.2649,	62.2649,	0.0829407,	0.00389156
5.70389,	1093.61,	-280.461,	-62.2573,	62.2573,	0.0829415,	0.00389108
5.70409,	1093.55,	-280.473,	-62.2497,	62.2497,	0.0829423,	0.00389061
5.70429,	1093.49,	-280.486,	-62.2421,	62.2421,	0.082943,	0.00389013
5.70449,	1093.44,	-280.498,	-62.2345,	62.2345,	0.0829438,	0.00388966
5.70469,	1093.38,	-280.511,	-62.2269,	62.2269,	0.0829446,	0.00388918
5.70489,	1093.33,	-280.523,	-62.2193,	62.2193,	0.0829453,	0.00388871
5.70509,	1093.27,	-280.536,	-62.2117,	62.2117,	0.0829461,	0.00388823
5.70529,	1093.21,	-280.548,	-62.2041,	62.2041,	0.0829469,	0.00388775
5.70549,	1093.16,	-280.561,	-62.1965,	62.1965,	0.0829476,	0.00388728
5.70569,	1093.1,	-280.573,	-62.1888,	62.1888,	0.0829484,	0.0038868
5.70589,	1093.05,	-280.585,	-62.1812,	62.1812,	0.0829492,	0.00388633
