Time	MissNT3	MissNT4	MissNT5	MissVM3	MissVM4	MissVM5
0.01401,	0.00934842,	0.00930477,	0.00926126,	14.3658,	14.2649,	14.1645
0.01421,	0.00961531,	0.00956977,	0.00952438,	14.5665,	14.4627,	14.3595
0.01441,	0.0098859,	0.00983842,	0.0097911,	14.767,	14.6604,	14.5543
0.01461,	0.0101602,	0.0101107,	0.0100614,	14.9675,	14.8579,	14.7488
0.01481,	0.0104382,	0.0103866,	0.0103353,	15.1678,	15.0552,	14.9432
0.01501,	0.0107199,	0.0106662,	0.0106128,	15.368,	15.2524,	15.1374
0.01521,	0.0110052,	0.0109494,	0.0108939,	15.5681,	15.4494,	15.3313
0.01541,	0.0112943,	0.0112363,	0.0111785,	15.7681,	15.6463,	15.5251
0.01561,	0.0115871,	0.0115268,	0.0114667,	15.9679,	15.843,	15.7187
0.01581,	0.0118835,	0.0118209,	0.0117585,	16.1677,	16.0395,	15.9121
0.01601,	0.0121836,	0.0121186,	0.0120538,	16.3673,	16.2359,	16.1052
0.01621,	0.0124874,	0.0124199,	0.0123527,	16.5667,	16.4321,	16.2982
0.01641,	0.0127949,	0.0127249,	0.0126552,	16.7661,	16.6282,	16.491
0.01661,	0.0131061,	0.0130335,	0.0129612,	16.9653,	16.824,	16.6835
0.01681,	0.0134209,	0.0133457,	0.0132708,	17.1644,	17.0198,	16.8759
0.01701,	0.0137394,	0.0136615,	0.0135839,	17.3634,	17.2153,	17.0681
0.01721,	0.0140616,	0.0139809,	0.0139006,	17.5623,	17.4107,	17.2601
0.01741,	0.0143874,	0.0143039,	0.0142208,	17.7611,	17.606,	17.4518
0.01761,	0.0147169,	0.0146305,	0.0145445,	17.9597,	17.8011,	17.6434
0.01781,	0.0150501,	0.0149608,	0.0148718,	18.1582,	17.996,	17.8348
0.01801,	0.0153869,	0.0152946,	0.0152026,	18.3566,	18.1908,	18.026
0.01821,	0.0157274,	0.015632,	0.0155369,	18.5548,	18.3854,	18.217
0.01841,	0.0160716,	0.015973,	0.0158748,	18.753,	18.5798,	18.4078
0.01861,	0.0164194,	0.0163175,	0.0162162,	18.951,	18.7741,	18.5983
0.01881,	0.0167708,	0.0166657,	0.016561,	19.1489,	18.9682,	18.7887
0.01901,	0.0171259,	0.0170174,	0.0169094,	19.3467,	19.1622,	18.9789
0.01921,	0.0174847,	0.0173727,	0.0172613,	19.5444,	19.356,	19.1689
0.01941,	0.0178471,	0.0177316,	0.0176167,	19.7419,	19.5497,	19.3587
0.01961,	0.0182131,	0.0180941,	0.0179756,	19.9393,	19.7432,	19.5483
0.01981,	0.0185828,	0.0184601,	0.018338,	20.1366,	19.9365,	19.7377
0.02001,	0.0189562,	0.0188297,	0.0187039,	20.3338,	20.1297,	19.9269
0.02021,	0.0193331,	0.0192029,	0.0190733,	20.5308,	20.3227,	20.1159
0.02041,	0.0197137,	0.0195796,	0.0194462,	20.7278,	20.5155,	20.3047
0.02061,	0.0200979,	0.0199599,	0.0198225,	20.9246,	20.7082,	20.4933
0.02081,	0.0204858,	0.0203437,	0.0202023,	21.1213,	20.9007,	20.6817
0.02101,	0.0208773,	0.0207311,	0.0205856,	21.3178,	21.0931,	20.87
0.02121,	0.0212724,	0.021122,	0.0209724,	21.5143,	21.2853,	21.058
0.02141,	0.0216711,	0.0215165,	0.0213626,	21.7106,	21.4774,	21.2458
0.02161,	0.0220735,	0.0219145,	0.0217563,	21.9068,	21.6693,	21.4334
0.02181,	0.0224794,	0.022316,	0.0221535,	22.1029,	21.861,	21.6209
0.02201,	0.022889,	0.0227211,	0.0225541,	22.2989,	22.0526,	21.8081
0.02221,	0.0233022,	0.0231297,	0.0229582,	22.4948,	22.244,	21.9952
0.02241,	0.0237191,	0.0235419,	0.0233657,	22.6905,	22.4353,	22.182
0.02261,	0.0241395,	0.0239576,	0.0237766,	22.8861,	22.6264,	22.3687
0.02281,	0.0245635,	0.0243768,	0.0241911,	23.0816,	22.8173,	22.5551
0.02301,	0.0249912,	0.0247995,	0.0246089,	23.277,	23.0081,	22.7414
0.02321,	0.0254224,	0.0252257,	0.0250302,	23.4722,	23.1987,	22.9274
0.02341,	0.0258572,	0.0256555,	0.0254549,	23.6673,	23.3892,	23.1133
0.02361,	0.0262957,	0.0260887,	0.025883,	23.8623,	23.5795,	23.299
0.02381,	0.0267377,	0.0265255,	0.0263146,	24.0572,	23.7697,	23.4844
0.02401,	0.0271834,	0.0269658,	0.0267495,	24.252,	23.9597,	23.6697
0.02421,	0.0276326,	0.0274096,	0.0271879,	24.4467,	24.1495,	23.8548
0.02441,	0.0280854,	0.0278569,	0.0276298,	24.6412,	24.3392,	24.0397
0.02461,	0.0285418,	0.0283077,	0.028075,	24.8356,	24.5287,	24.2244
0.02481,	0.0290018,	0.0287619,	0.0285236,	25.0299,	24.7181,	24.4089
0.02501,	0.0294654,	0.0292197,	0.0289756,	25.2241,	24.9073,	24.5932
0.02521,	0.0299325,	0.029681,	0.029431,	25.4181,	25.0964,	24.7773
0.02541,	0.0304033,	0.0301457,	0.0298899,	25.612,	25.2852,	24.9613
0.02561,	0.0308776,	0.030614,	0.0303521,	25.8059,	25.474,	25.145
0.02581,	0.0313555,	0.0310857,	0.0308177,	25.9996,	25.6626,	25.3285
0.02601,	0.0318369,	0.0315609,	0.0312867,	26.1931,	25.851,	25.5119
0.02621,	0.0323219,	0.0320395,	0.031759,	26.3866,	26.0393,	25.695
0.02641,	0.0328105,	0.0325217,	0.0322348,	26.5799,	26.2274,	25.878
0.02661,	0.0333027,	0.0330073,	0.0327139,	26.7731,	26.4153,	26.0607
0.02681,	0.0337984,	0.0334964,	0.0331963,	26.9662,	26.6031,	26.2433
0.02701,	0.0342977,	0.0339889,	0.0336822,	27.1592,	26.7908,	26.4257
0.02721,	0.0348005,	0.0344849,	0.0341714,	27.3521,	26.9782,	26.6079
0.02741,	0.0353069,	0.0349844,	0.034664,	27.5448,	27.1656,	26.7898
0.02761,	0.0358169,	0.0354873,	0.0351599,	27.7374,	27.3527,	26.9716
0.02781,	0.0363304,	0.0359936,	0.0356592,	27.9299,	27.5398,	27.1532
0.02801,	0.0368475,	0.0365034,	0.0361618,	28.1223,	27.7266,	27.3347
0.02821,	0.0373681,	0.0370167,	0.0366678,	28.3146,	27.9133,	27.5159
0.02841,	0.0378922,	0.0375334,	0.0371771,	28.5067,	28.0999,	27.6969
0.02861,	0.0384199,	0.0380535,	0.0376898,	28.6988,	28.2863,	27.8777
0.02881,	0.0389512,	0.0385771,	0.0382058,	28.8907,	28.4725,	28.0584
0.02901,	0.039486,	0.0391041,	0.0387251,	29.0825,	28.6586,	28.2388
0.02921,	0.0400243,	0.0396346,	0.0392477,	29.2741,	28.8445,	28.4191
0.02941,	0.0405661,	0.0401684,	0.0397737,	29.4657,	29.0303,	28.5991
0.02961,	0.0411115,	0.0407057,	0.040303,	29.6571,	29.2159,	28.779
0.02981,	0.0416604,	0.0412465,	0.0408356,	29.8485,	29.4013,	28.9587
0.03001,	0.0422129,	0.0417906,	0.0413715,	30.0397,	29.5866,	29.1382
0.03021,	0.0427688,	0.0423382,	0.0419107,	30.2307,	29.7718,	29.3175
0.03041,	0.0433283,	0.0428891,	0.0424533,	30.4217,	29.9568,	29.4966
0.03061,	0.0438914,	0.0434435,	0.0429991,	30.6125,	30.1416,	29.6755
0.03081,	0.0444579,	0.0440013,	0.0435482,	30.8033,	30.3263,	29.8543
0.03101,	0.0450279,	0.0445625,	0.0441007,	30.9939,	30.5108,	30.0328
0.03121,	0.0456015,	0.0451271,	0.0446564,	31.1844,	30.6952,	30.2111
0.03141,	0.0461786,	0.0456951,	0.0452154,	31.3747,	30.8794,	30.3893
0.03161,	0.0467592,	0.0462665,	0.0457777,	31.565,	31.0634,	30.5673
0.03181,	0.0473433,	0.0468413,	0.0463433,	31.7551,	31.2473,	30.745
0.03201,	0.0479309,	0.0474195,	0.0469122,	31.9452,	31.4311,	30.9226
0.03221,	0.048522,	0.0480011,	0.0474843,	32.135,	31.6147,	31.1
0.03241,	0.0491166,	0.048586,	0.0480597,	32.3248,	31.7981,	31.2772
0.03261,	0.0497148,	0.0491744,	0.0486384,	32.5145,	31.9814,	31.4542
0.03281,	0.0503164,	0.0497661,	0.0492203,	32.704,	32.1646,	31.6311
0.03301,	0.0509215,	0.0503612,	0.0498055,	32.8935,	32.3475,	31.8077
0.03321,	0.0515301,	0.0509597,	0.050394,	33.0828,	32.5304,	31.9842
0.03341,	0.0521422,	0.0515615,	0.0509857,	33.272,	32.713,	32.1604
0.03361,	0.0527578,	0.0521667,	0.0515806,	33.4611,	32.8955,	32.3365
0.03381,	0.0533769,	0.0527753,	0.0521788,	33.65,	33.0779,	32.5124
0.03401,	0.0539994,	0.0533872,	0.0527803,	33.8389,	33.2601,	32.6881
0.03421,	0.0546254,	0.0540025,	0.053385,	34.0276,	33.4422,	32.8636
0.03441,	0.055255,	0.0546212,	0.0539929,	34.2162,	33.6241,	33.0389
0.03461,	0.055888,	0.0552432,	0.054604,	34.4047,	33.8058,	33.214
0.03481,	0.0565245,	0.0558686,	0.0552184,	34.5931,	33.9874,	33.3889
0.03501,	0.0571644,	0.0564973,	0.055836,	34.7813,	34.1688,	33.5637
0.03521,	0.0578078,	0.0571294,	0.0564569,	34.9694,	34.3501,	33.7382
0.03541,	0.0584547,	0.0577648,	0.0570809,	35.1575,	34.5313,	33.9126
0.03561,	0.0591051,	0.0584035,	0.0577082,	35.3454,	34.7122,	34.0868
0.03581,	0.0597589,	0.0590456,	0.0583386,	35.5332,	34.8931,	34.2608
0.03601,	0.0604162,	0.059691,	0.0589723,	35.7208,	35.0737,	34.4346
0.03621,	0.061077,	0.0603398,	0.0596092,	35.9084,	35.2543,	34.6082
0.03641,	0.0617412,	0.0609918,	0.0602493,	36.0958,	35.4346,	34.7817
0.03661,	0.0624088,	0.0616472,	0.0608926,	36.2831,	35.6149,	34.9549
0.03681,	0.0630799,	0.062306,	0.0615391,	36.4703,	35.7949,	35.1279
0.03701,	0.0637545,	0.062968,	0.0621888,	36.6574,	35.9748,	35.3008
0.03721,	0.0644325,	0.0636334,	0.0628416,	36.8444,	36.1546,	35.4735
0.03741,	0.065114,	0.0643021,	0.0634977,	37.0313,	36.3342,	35.646
0.03761,	0.0657989,	0.064974,	0.0641569,	37.218,	36.5136,	35.8183
0.03781,	0.0664873,	0.0656494,	0.0648193,	37.4046,	36.6929,	35.9904
0.03801,	0.0671791,	0.066328,	0.0654849,	37.5911,	36.8721,	36.1624
0.03821,	0.0678744,	0.0670099,	0.0661536,	37.7775,	37.0511,	36.3341
0.03841,	0.068573,	0.0676951,	0.0668255,	37.9638,	37.2299,	36.5057
0.03861,	0.0692752,	0.0683836,	0.0675006,	38.1499,	37.4086,	36.6771
0.03881,	0.0699807,	0.0690754,	0.0681789,	38.336,	37.5872,	36.8482
0.03901,	0.0706897,	0.0697705,	0.0688603,	38.5219,	37.7655,	37.0193
0.03921,	0.0714021,	0.0704689,	0.0695448,	38.7077,	37.9438,	37.1901
