Time	MissNT3	MissNT4	MissNT5	MissVM3	MissVM4	MissVM5
0.836973,	14.6513,	10.5637,	7.33146,	220.702,	106.186,	45.2524
0.837173,	14.6554,	10.5657,	7.33195,	220.673,	106.135,	45.2105
0.837373,	14.6595,	10.5677,	7.33244,	220.644,	106.084,	45.1686
0.837573,	14.6635,	10.5696,	7.33293,	220.614,	106.034,	45.1267
0.837773,	14.6676,	10.5716,	7.33342,	220.585,	105.983,	45.0849
0.837973,	14.6717,	10.5735,	7.33391,	220.556,	105.933,	45.043
0.838173,	14.6757,	10.5755,	7.33439,	220.526,	105.882,	45.0012
0.838373,	14.6798,	10.5774,	7.33488,	220.497,	105.831,	44.9594
0.838573,	14.6839,	10.5794,	7.33536,	220.467,	105.781,	44.9175
0.838773,	14.688,	10.5813,	7.33585,	220.438,	105.73,	44.8757
0.838973,	14.692,	10.5833,	7.33633,	220.408,	105.68,	44.8339
0.839172,	14.6961,	10.5852,	7.33681,	220.379,	105.629,	44.7921
0.839372,	14.7001,	10.5872,	7.33729,	220.349,	105.578,	44.7504
0.839572,	14.7042,	10.5891,	7.33777,	220.32,	105.528,	44.7086
0.839772,	14.7083,	10.5911,	7.33825,	220.29,	105.477,	44.6669
0.839972,	14.7123,	10.593,	7.33873,	220.26,	105.426,	44.6252
0.840172,	14.7164,	10.595,	7.33921,	220.231,	105.376,	44.5834
0.840372,	14.7205,	10.5969,	7.33968,	220.201,	105.325,	44.5417
0.840572,	14.7245,	10.5989,	7.34016,	220.172,	105.274,	44.5
0.840772,	14.7286,	10.6008,	7.34063,	220.142,	105.224,	44.4583
0.840972,	14.7326,	10.6027,	7.3411,	220.112,	105.173,	44.4167
0.841172,	14.7367,	10.6047,	7.34157,	220.083,	105.122,	44.375
0.841372,	14.7408,	10.6066,	7.34204,	220.053,	105.072,	44.3334
0.841572,	14.7448,	10.6085,	7.34251,	220.023,	105.021,	44.2918
0.841772,	14.7489,	10.6105,	7.34298,	219.994,	104.97,	44.2501
0.841972,	14.7529,	10.6124,	7.34345,	219.964,	104.919,	44.2085
0.842172,	14.757,	10.6144,	7.34392,	219.934,	104.869,	44.167
0.842372,	14.7611,	10.6163,	7.34438,	219.904,	104.818,	44.1253
0.842572,	14.7651,	10.6182,	7.34485,	219.875,	104.767,	44.0838
0.842772,	14.7692,	10.6202,	7.34531,	219.845,	104.717,	44.0422
0.842972,	14.7732,	10.6221,	7.34577,	219.815,	104.666,	44.0007
0.843172,	14.7773,	10.624,	7.34623,	219.785,	104.615,	43.9592
0.843372,	14.7813,	10.6259,	7.34669,	219.755,	104.564,	43.9176
0.843572,	14.7854,	10.6279,	7.34715,	219.726,	104.514,	43.8762
0.843772,	14.7894,	10.6298,	7.34761,	219.696,	104.463,	43.8347
0.843972,	14.7935,	10.6317,	7.34807,	219.666,	104.412,	43.7932
0.844172,	14.7975,	10.6337,	7.34852,	219.636,	104.361,	43.7517
0.844372,	14.8016,	10.6356,	7.34898,	219.606,	104.311,	43.7103
0.844572,	14.8056,	10.6375,	7.34943,	219.576,	104.26,	43.6688
0.844772,	14.8097,	10.6394,	7.34989,	219.546,	104.209,	43.6274
0.844972,	14.8137,	10.6413,	7.35034,	219.516,	104.158,	43.586
0.845172,	14.8178,	10.6433,	7.35079,	219.486,	104.107,	43.5446
0.845372,	14.8218,	10.6452,	7.35124,	219.456,	104.057,	43.5032
0.845572,	14.8259,	10.6471,	7.35169,	219.426,	104.006,	43.4618
0.845772,	14.8299,	10.649,	7.35214,	219.396,	103.955,	43.4205
0.845972,	14.834,	10.6509,	7.35258,	219.366,	103.904,	43.3791
0.846172,	14.838,	10.6529,	7.35303,	219.336,	103.853,	43.3378
0.846372,	14.8421,	10.6548,	7.35347,	219.306,	103.803,	43.2965
0.846572,	14.8461,	10.6567,	7.35392,	219.276,	103.752,	43.2551
0.846771,	14.8502,	10.6586,	7.35436,	219.246,	103.701,	43.2139
0.846971,	14.8542,	10.6605,	7.3548,	219.216,	103.65,	43.1726
0.847171,	14.8583,	10.6624,	7.35524,	219.186,	103.599,	43.1313
0.847371,	14.8623,	10.6643,	7.35568,	219.156,	103.549,	43.09
0.847571,	14.8663,	10.6662,	7.35612,	219.126,	103.498,	43.0488
0.847771,	14.8704,	10.6682,	7.35656,	219.096,	103.447,	43.0076
0.847971,	14.8744,	10.6701,	7.357,	219.065,	103.396,	42.9664
0.848171,	14.8785,	10.672,	7.35743,	219.035,	103.345,	42.9251
0.848371,	14.8825,	10.6739,	7.35787,	219.005,	103.294,	42.884
0.848571,	14.8865,	10.6758,	7.3583,	218.975,	103.243,	42.8428
0.848771,	14.8906,	10.6777,	7.35873,	218.945,	103.193,	42.8016
0.848971,	14.8946,	10.6796,	7.35916,	218.914,	103.142,	42.7604
0.849171,	14.8987,	10.6815,	7.35959,	218.884,	103.091,	42.7193
0.849371,	14.9027,	10.6834,	7.36002,	218.854,	103.04,	42.6782
0.849571,	14.9067,	10.6853,	7.36045,	218.824,	102.989,	42.6371
0.849771,	14.9108,	10.6872,	7.36088,	218.793,	102.938,	42.596
0.849971,	14.9148,	10.6891,	7.36131,	218.763,	102.887,	42.5549
0.850171,	14.9188,	10.691,	7.36173,	218.733,	102.836,	42.5138
0.850371,	14.9229,	10.6929,	7.36215,	218.702,	102.785,	42.4727
0.850571,	14.9269,	10.6948,	7.36258,	218.672,	102.735,	42.4317
0.850771,	14.9309,	10.6967,	7.363,	218.642,	102.684,	42.3907
0.850971,	14.935,	10.6986,	7.36342,	218.611,	102.633,	42.3497
0.851171,	14.939,	10.7005,	7.36384,	218.581,	102.582,	42.3087
0.851371,	14.943,	10.7024,	7.36426,	218.55,	102.531,	42.2676
0.851571,	14.9471,	10.7042,	7.36468,	218.52,	102.48,	42.2267
0.851771,	14.9511,	10.7061,	7.3651,	218.489,	102.429,	42.1857
0.851971,	14.9551,	10.708,	7.36551,	218.459,	102.378,	42.1447
0.852171,	14.9592,	10.7099,	7.36593,	218.429,	102.327,	42.1038
0.852371,	14.9632,	10.7118,	7.36634,	218.398,	102.276,	42.0629
0.852571,	14.9672,	10.7137,	7.36676,	218.368,	102.225,	42.0219
0.852771,	14.9712,	10.7156,	7.36717,	218.337,	102.174,	41.9811
0.852971,	14.9753,	10.7175,	7.36758,	218.307,	102.123,	41.9401
0.853171,	14.9793,	10.7193,	7.36799,	218.276,	102.072,	41.8993
0.853371,	14.9833,	10.7212,	7.3684,	218.245,	102.022,	41.8584
0.853571,	14.9874,	10.7231,	7.36881,	218.215,	101.971,	41.8175
0.853771,	14.9914,	10.725,	7.36921,	218.184,	101.92,	41.7767
0.853971,	14.9954,	10.7269,	7.36962,	218.154,	101.869,	41.7359
0.854171,	14.9994,	10.7287,	7.37002,	218.123,	101.818,	41.6951
0.85437,	15.0035,	10.7306,	7.37043,	218.092,	101.767,	41.6543
0.85457,	15.0075,	10.7325,	7.37083,	218.062,	101.716,	41.6135
0.85477,	15.0115,	10.7344,	7.37123,	218.031,	101.665,	41.5727
0.85497,	15.0155,	10.7362,	7.37163,	218,	101.614,	41.532
0.85517,	15.0195,	10.7381,	7.37203,	217.97,	101.563,	41.4912
0.85537,	15.0236,	10.74,	7.37243,	217.939,	101.512,	41.4505
0.85557,	15.0276,	10.7419,	7.37283,	217.908,	101.461,	41.4098
0.85577,	15.0316,	10.7437,	7.37323,	217.878,	101.41,	41.3691
0.85597,	15.0356,	10.7456,	7.37362,	217.847,	101.359,	41.3284
0.85617,	15.0396,	10.7475,	7.37402,	217.816,	101.308,	41.2877
0.85637,	15.0437,	10.7493,	7.37441,	217.785,	101.257,	41.2471
0.85657,	15.0477,	10.7512,	7.3748,	217.755,	101.206,	41.2064
0.85677,	15.0517,	10.7531,	7.37519,	217.724,	101.155,	41.1658
0.85697,	15.0557,	10.7549,	7.37559,	217.693,	101.103,	41.1251
0.85717,	15.0597,	10.7568,	7.37598,	217.662,	101.052,	41.0845
0.85737,	15.0637,	10.7587,	7.37636,	217.631,	101.001,	41.044
0.85757,	15.0677,	10.7605,	7.37675,	217.6,	100.95,	41.0034
0.85777,	15.0718,	10.7624,	7.37714,	217.57,	100.899,	40.9628
0.85797,	15.0758,	10.7643,	7.37752,	217.539,	100.848,	40.9222
0.85817,	15.0798,	10.7661,	7.37791,	217.508,	100.797,	40.8817
0.85837,	15.0838,	10.768,	7.37829,	217.477,	100.746,	40.8412
0.85857,	15.0878,	10.7698,	7.37867,	217.446,	100.695,	40.8007
0.85877,	15.0918,	10.7717,	7.37906,	217.415,	100.644,	40.7602
0.85897,	15.0958,	10.7735,	7.37944,	217.384,	100.593,	40.7197
0.85917,	15.0998,	10.7754,	7.37982,	217.353,	100.542,	40.6792
0.85937,	15.1039,	10.7773,	7.38019,	217.322,	100.491,	40.6387
0.85957,	15.1079,	10.7791,	7.38057,	217.291,	100.44,	40.5983
0.85977,	15.1119,	10.781,	7.38095,	217.26,	100.389,	40.5579
0.85997,	15.1159,	10.7828,	7.38132,	217.229,	100.337,	40.5174
0.86017,	15.1199,	10.7847,	7.3817,	217.198,	100.286,	40.477
0.86037,	15.1239,	10.7865,	7.38207,	217.167,	100.235,	40.4367
0.86057,	15.1279,	10.7884,	7.38244,	217.136,	100.184,	40.3963
0.86077,	15.1319,	10.7902,	7.38281,	217.105,	100.133,	40.3559
0.86097,	15.1359,	10.7921,	7.38318,	217.074,	100.082,	40.3156
0.86117,	15.1399,	10.7939,	7.38355,	217.043,	100.031,	40.2752
0.86137,	15.1439,	10.7957,	7.38392,	217.012,	99.9797,	40.2349
0.86157,	15.1479,	10.7976,	7.38429,	216.98,	99.9286,	40.1946
0.861769,	15.1519,	10.7994,	7.38465,	216.949,	99.8775,	40.1543
0.861969,	15.1559,	10.8013,	7.38502,	216.918,	99.8263,	40.114
0.862169,	15.1599,	10.8031,	7.38538,	216.887,	99.7752,	40.0738
0.862369,	15.1639,	10.805,	7.38575,	216.856,	99.724,	40.0335
0.862569,	15.1679,	10.8068,	7.38611,	216.825,	99.6729,	39.9932
0.862769,	15.1719,	10.8086,	7.38647,	216.793,	99.6218,	39.953
0.862969,	15.1759,	10.8105,	7.38683,	216.762,	99.5706,	39.9128
0.863169,	15.1799,	10.8123,	7.38719,	216.731,	99.5195,	39.8726
0.863369,	15.1839,	10.8141,	7.38755,	216.7,	99.4683,	39.8324
0.863569,	15.1879,	10.816,	7.3879,	216.668,	99.4171,	39.7923
0.863769,	15.1919,	10.8178,	7.38826,	216.637,	99.366,	39.7521
0.863969,	15.1959,	10.8196,	7.38862,	216.606,	99.3148,	39.712
0.864169,	15.1999,	10.8215,	7.38897,	216.574,	99.2636,	39.6718
0.864369,	15.2039,	10.8233,	7.38932,	216.543,	99.2125,	39.6317
0.864569,	15.2079,	10.8251,	7.38967,	216.512,	99.1613,	39.5916
0.864769,	15.2119,	10.827,	7.39003,	216.48,	99.1101,	39.5515
0.864969,	15.2159,	10.8288,	7.39038,	216.449,	99.0589,	39.5114
0.865169,	15.2199,	10.8306,	7.39072,	216.418,	99.0077,	39.4714
0.865369,	15.2239,	10.8324,	7.39107,	216.386,	98.9565,	39.4314
0.865569,	15.2279,	10.8343,	7.39142,	216.355,	98.9053,	39.3913
0.865769,	15.2318,	10.8361,	7.39177,	216.323,	98.8541,	39.3513
0.865969,	15.2358,	10.8379,	7.39211,	216.292,	98.8029,	39.3113
0.866169,	15.2398,	10.8397,	7.39245,	216.26,	98.7517,	39.2713
0.866369,	15.2438,	10.8416,	7.3928,	216.229,	98.7005,	39.2313
0.866569,	15.2478,	10.8434,	7.39314,	216.198,	98.6493,	39.1914
0.866769,	15.2518,	10.8452,	7.39348,	216.166,	98.5981,	39.1514
0.866969,	15.2558,	10.847,	7.39382,	216.135,	98.5469,	39.1115
0.867169,	15.2598,	10.8488,	7.39416,	216.103,	98.4957,	39.0716
0.867369,	15.2637,	10.8506,	7.3945,	216.071,	98.4444,	39.0316
0.867569,	15.2677,	10.8525,	7.39483,	216.04,	98.3932,	38.9918
0.867769,	15.2717,	10.8543,	7.39517,	216.008,	98.342,	38.9519
0.867969,	15.2757,	10.8561,	7.3955,	215.977,	98.2907,	38.912
0.868169,	15.2797,	10.8579,	7.39584,	215.945,	98.2395,	38.8722
0.868369,	15.2837,	10.8597,	7.39617,	215.914,	98.1882,	38.8323
0.868569,	15.2877,	10.8615,	7.3965,	215.882,	98.137,	38.7925
0.868769,	15.2916,	10.8633,	7.39683,	215.85,	98.0858,	38.7527
0.868969,	15.2956,	10.8651,	7.39716,	215.819,	98.0345,	38.7129
0.869169,	15.2996,	10.867,	7.39749,	215.787,	97.9832,	38.6731
0.869368,	15.3036,	10.8688,	7.39782,	215.755,	97.932,	38.6334
0.869568,	15.3076,	10.8706,	7.39814,	215.724,	97.8807,	38.5936
0.869768,	15.3115,	10.8724,	7.39847,	215.692,	97.8295,	38.5539
0.869968,	15.3155,	10.8742,	7.39879,	215.66,	97.7782,	38.5141
0.870168,	15.3195,	10.876,	7.39912,	215.629,	97.7269,	38.4744
0.870368,	15.3235,	10.8778,	7.39944,	215.597,	97.6756,	38.4348
0.870568,	15.3274,	10.8796,	7.39976,	215.565,	97.6244,	38.3951
0.870768,	15.3314,	10.8814,	7.40008,	215.533,	97.5731,	38.3554
0.870968,	15.3354,	10.8832,	7.4004,	215.502,	97.5218,	38.3158
0.871168,	15.3394,	10.885,	7.40072,	215.47,	97.4705,	38.2761
0.871368,	15.3433,	10.8868,	7.40104,	215.438,	97.4192,	38.2365
0.871568,	15.3473,	10.8886,	7.40136,	215.406,	97.3679,	38.1969
0.871768,	15.3513,	10.8904,	7.40167,	215.374,	97.3166,	38.1573
0.871968,	15.3553,	10.8922,	7.40199,	215.342,	97.2653,	38.1177
0.872168,	15.3592,	10.894,	7.4023,	215.311,	97.214,	38.0781
0.872368,	15.3632,	10.8958,	7.40261,	215.279,	97.1627,	38.0386
0.872568,	15.3672,	10.8975,	7.40292,	215.247,	97.1114,	37.999
0.872768,	15.3712,	10.8993,	7.40323,	215.215,	97.0601,	37.9595
0.872968,	15.3751,	10.9011,	7.40354,	215.183,	97.0088,	37.92
0.873168,	15.3791,	10.9029,	7.40385,	215.151,	96.9575,	37.8805
0.873368,	15.3831,	10.9047,	7.40416,	215.119,	96.9061,	37.841
0.873568,	15.387,	10.9065,	7.40447,	215.087,	96.8548,	37.8016
0.873768,	15.391,	10.9083,	7.40477,	215.055,	96.8035,	37.7621
0.873968,	15.395,	10.9101,	7.40508,	215.023,	96.7521,	37.7227
0.874168,	15.3989,	10.9118,	7.40538,	214.991,	96.7008,	37.6832
0.874368,	15.4029,	10.9136,	7.40568,	214.959,	96.6495,	37.6438
0.874568,	15.4069,	10.9154,	7.40598,	214.927,	96.5981,	37.6044
0.874768,	15.4108,	10.9172,	7.40628,	214.895,	96.5468,	37.565
0.874968,	15.4148,	10.919,	7.40658,	214.863,	96.4954,	37.5257
0.875168,	15.4188,	10.9208,	7.40688,	214.831,	96.4441,	37.4863
0.875368,	15.4227,	10.9225,	7.40718,	214.799,	96.3927,	37.447
0.875568,	15.4267,	10.9243,	7.40747,	214.767,	96.3414,	37.4077
0.875768,	15.4306,	10.9261,	7.40777,	214.735,	96.29,	37.3684
0.875968,	15.4346,	10.9279,	7.40806,	214.703,	96.2387,	37.329
0.876168,	15.4386,	10.9296,	7.40836,	214.671,	96.1873,	37.2898
0.876368,	15.4425,	10.9314,	7.40865,	214.638,	96.1359,	37.2505
0.876568,	15.4465,	10.9332,	7.40894,	214.606,	96.0845,	37.2113
0.876768,	15.4504,	10.935,	7.40923,	214.574,	96.0332,	37.172
0.876967,	15.4544,	10.9367,	7.40952,	214.542,	95.9818,	37.1328
0.877167,	15.4584,	10.9385,	7.40981,	214.51,	95.9304,	37.0936
0.877367,	15.4623,	10.9403,	7.4101,	214.478,	95.879,	37.0544
0.877567,	15.4663,	10.942,	7.41038,	214.445,	95.8277,	37.0152
0.877767,	15.4702,	10.9438,	7.41067,	214.413,	95.7763,	36.976
0.877967,	15.4742,	10.9456,	7.41095,	214.381,	95.7249,	36.9369
0.878167,	15.4781,	10.9473,	7.41124,	214.349,	95.6735,	36.8978
0.878367,	15.4821,	10.9491,	7.41152,	214.316,	95.6221,	36.8587
0.878567,	15.486,	10.9509,	7.4118,	214.284,	95.5707,	36.8195
0.878767,	15.49,	10.9526,	7.41208,	214.252,	95.5193,	36.7804
0.878967,	15.4939,	10.9544,	7.41236,	214.219,	95.4679,	36.7414
0.879167,	15.4979,	10.9561,	7.41264,	214.187,	95.4165,	36.7023
0.879367,	15.5018,	10.9579,	7.41292,	214.155,	95.3651,	36.6632
0.879567,	15.5058,	10.9597,	7.41319,	214.122,	95.3137,	36.6242
0.879767,	15.5097,	10.9614,	7.41347,	214.09,	95.2622,	36.5852
0.879967,	15.5137,	10.9632,	7.41374,	214.058,	95.2108,	36.5462
0.880167,	15.5176,	10.9649,	7.41401,	214.025,	95.1594,	36.5072
0.880367,	15.5216,	10.9667,	7.41429,	213.993,	95.108,	36.4682
0.880567,	15.5255,	10.9684,	7.41456,	213.961,	95.0566,	36.4293
0.880767,	15.5295,	10.9702,	7.41483,	213.928,	95.0051,	36.3903
0.880967,	15.5334,	10.9719,	7.4151,	213.896,	94.9537,	36.3514
0.881167,	15.5374,	10.9737,	7.41537,	213.863,	94.9023,	36.3125
0.881367,	15.5413,	10.9754,	7.41563,	213.831,	94.8508,	36.2736
0.881567,	15.5453,	10.9772,	7.4159,	213.798,	94.7994,	36.2347
0.881767,	15.5492,	10.9789,	7.41617,	213.766,	94.7479,	36.1958
0.881967,	15.5531,	10.9807,	7.41643,	213.733,	94.6965,	36.1569
0.882167,	15.5571,	10.9824,	7.41669,	213.701,	94.6451,	36.1181
0.882367,	15.561,	10.9842,	7.41695,	213.668,	94.5936,	36.0792
0.882567,	15.565,	10.9859,	7.41722,	213.636,	94.5422,	36.0404
0.882767,	15.5689,	10.9877,	7.41748,	213.603,	94.4907,	36.0017
0.882967,	15.5729,	10.9894,	7.41774,	213.571,	94.4392,	35.9629
0.883167,	15.5768,	10.9912,	7.41799,	213.538,	94.3878,	35.9241
0.883367,	15.5807,	10.9929,	7.41825,	213.505,	94.3363,	35.8853
0.883567,	15.5847,	10.9946,	7.41851,	213.473,	94.2849,	35.8466
0.883767,	15.5886,	10.9964,	7.41876,	213.44,	94.2334,	35.8079
0.883967,	15.5925,	10.9981,	7.41902,	213.408,	94.1819,	35.7691
0.884167,	15.5965,	10.9999,	7.41927,	213.375,	94.1304,	35.7305
0.884367,	15.6004,	11.0016,	7.41952,	213.342,	94.079,	35.6918
0.884566,	15.6044,	11.0033,	7.41977,	213.31,	94.0275,	35.6531
0.884766,	15.6083,	11.0051,	7.42002,	213.277,	93.976,	35.6145
0.884966,	15.6122,	11.0068,	7.42027,	213.244,	93.9245,	35.5758
0.885166,	15.6162,	11.0085,	7.42052,	213.212,	93.873,	35.5372
0.885366,	15.6201,	11.0103,	7.42077,	213.179,	93.8216,	35.4986
0.885566,	15.624,	11.012,	7.42101,	213.146,	93.7701,	35.46
0.885766,	15.628,	11.0137,	7.42126,	213.113,	93.7186,	35.4214
0.885966,	15.6319,	11.0154,	7.4215,	213.081,	93.6671,	35.3829
0.886166,	15.6358,	11.0172,	7.42175,	213.048,	93.6156,	35.3443
0.886366,	15.6397,	11.0189,	7.42199,	213.015,	93.5641,	35.3058
0.886566,	15.6437,	11.0206,	7.42223,	212.982,	93.5126,	35.2672
0.886766,	15.6476,	11.0223,	7.42247,	212.949,	93.4611,	35.2288
0.886966,	15.6515,	11.0241,	7.42271,	212.917,	93.4096,	35.1903
0.887166,	15.6555,	11.0258,	7.42295,	212.884,	93.3581,	35.1518
0.887366,	15.6594,	11.0275,	7.42319,	212.851,	93.3066,	35.1133
0.887566,	15.6633,	11.0292,	7.42342,	212.818,	93.2551,	35.0749
0.887766,	15.6672,	11.031,	7.42366,	212.785,	93.2035,	35.0365
0.887966,	15.6712,	11.0327,	7.42389,	212.752,	93.152,	34.9981
0.888166,	15.6751,	11.0344,	7.42412,	212.719,	93.1005,	34.9596
0.888366,	15.679,	11.0361,	7.42436,	212.686,	93.049,	34.9213
0.888566,	15.6829,	11.0378,	7.42459,	212.654,	92.9975,	34.8829
0.888766,	15.6869,	11.0395,	7.42482,	212.621,	92.9459,	34.8445
0.888966,	15.6908,	11.0413,	7.42505,	212.588,	92.8944,	34.8062
0.889166,	15.6947,	11.043,	7.42528,	212.555,	92.8429,	34.7679
0.889366,	15.6986,	11.0447,	7.4255,	212.522,	92.7913,	34.7296
0.889566,	15.7025,	11.0464,	7.42573,	212.489,	92.7398,	34.6913
0.889766,	15.7065,	11.0481,	7.42596,	212.456,	92.6883,	34.653
0.889966,	15.7104,	11.0498,	7.42618,	212.423,	92.6367,	34.6147
0.890166,	15.7143,	11.0515,	7.4264,	212.39,	92.5852,	34.5765
0.890366,	15.7182,	11.0532,	7.42662,	212.357,	92.5336,	34.5382
0.890566,	15.7221,	11.0549,	7.42685,	212.324,	92.4821,	34.5
0.890766,	15.726,	11.0566,	7.42707,	212.291,	92.4305,	34.4618
0.890966,	15.73,	11.0583,	7.42729,	212.258,	92.379,	34.4237
0.891166,	15.7339,	11.06,	7.4275,	212.224,	92.3274,	34.3855
0.891366,	15.7378,	11.0617,	7.42772,	212.191,	92.2759,	34.3473
0.891566,	15.7417,	11.0634,	7.42794,	212.158,	92.2243,	34.3092
0.891766,	15.7456,	11.0652,	7.42815,	212.125,	92.1728,	34.271
0.891966,	15.7495,	11.0668,	7.42837,	212.092,	92.1212,	34.2329
0.892165,	15.7534,	11.0685,	7.42858,	212.059,	92.0696,	34.1948
0.892365,	15.7574,	11.0702,	7.42879,	212.026,	92.0181,	34.1567
0.892565,	15.7613,	11.0719,	7.42901,	211.993,	91.9665,	34.1187
0.892765,	15.7652,	11.0736,	7.42922,	211.959,	91.9149,	34.0806
0.892965,	15.7691,	11.0753,	7.42942,	211.926,	91.8634,	34.0426
0.893165,	15.773,	11.077,	7.42963,	211.893,	91.8118,	34.0046
0.893365,	15.7769,	11.0787,	7.42984,	211.86,	91.7602,	33.9666
0.893565,	15.7808,	11.0804,	7.43005,	211.826,	91.7086,	33.9285
0.893765,	15.7847,	11.0821,	7.43025,	211.793,	91.6571,	33.8906
0.893965,	15.7886,	11.0838,	7.43046,	211.76,	91.6055,	33.8526
0.894165,	15.7925,	11.0855,	7.43066,	211.727,	91.5539,	33.8147
0.894365,	15.7964,	11.0872,	7.43086,	211.693,	91.5023,	33.7768
0.894565,	15.8003,	11.0889,	7.43106,	211.66,	91.4507,	33.7388
0.894765,	15.8042,	11.0905,	7.43126,	211.627,	91.3991,	33.7009
0.894965,	15.8081,	11.0922,	7.43146,	211.593,	91.3475,	33.6631
0.895165,	15.812,	11.0939,	7.43166,	211.56,	91.2959,	33.6252
0.895365,	15.816,	11.0956,	7.43186,	211.527,	91.2443,	33.5873
0.895565,	15.8199,	11.0973,	7.43206,	211.493,	91.1927,	33.5495
0.895765,	15.8238,	11.099,	7.43225,	211.46,	91.1412,	33.5117
0.895965,	15.8277,	11.1006,	7.43245,	211.427,	91.0896,	33.4739
0.896165,	15.8316,	11.1023,	7.43264,	211.393,	91.0379,	33.436
0.896365,	15.8355,	11.104,	7.43283,	211.36,	90.9863,	33.3983
0.896565,	15.8394,	11.1057,	7.43302,	211.326,	90.9347,	33.3605
0.896765,	15.8432,	11.1074,	7.43322,	211.293,	90.8831,	33.3228
0.896965,	15.8471,	11.109,	7.4334,	211.26,	90.8315,	33.285
0.897165,	15.851,	11.1107,	7.43359,	211.226,	90.7799,	33.2473
0.897365,	15.8549,	11.1124,	7.43378,	211.193,	90.7283,	33.2096
0.897565,	15.8588,	11.1141,	7.43397,	211.159,	90.6767,	33.172
0.897765,	15.8627,	11.1157,	7.43415,	211.126,	90.6251,	33.1343
0.897965,	15.8666,	11.1174,	7.43434,	211.092,	90.5734,	33.0966
0.898165,	15.8705,	11.1191,	7.43452,	211.059,	90.5218,	33.059
0.898365,	15.8744,	11.1207,	7.4347,	211.025,	90.4702,	33.0213
0.898565,	15.8783,	11.1224,	7.43489,	210.992,	90.4186,	32.9837
0.898765,	15.8822,	11.1241,	7.43507,	210.958,	90.367,	32.9461
0.898965,	15.8861,	11.1257,	7.43525,	210.925,	90.3153,	32.9086
0.899165,	15.89,	11.1274,	7.43542,	210.891,	90.2637,	32.871
0.899365,	15.8939,	11.1291,	7.4356,	210.857,	90.2121,	32.8334
0.899565,	15.8978,	11.1307,	7.43578,	210.824,	90.1604,	32.7959
0.899764,	15.9016,	11.1324,	7.43595,	210.79,	90.1088,	32.7584
0.899964,	15.9055,	11.1341,	7.43613,	210.757,	90.0571,	32.7209
0.900164,	15.9094,	11.1357,	7.4363,	210.723,	90.0055,	32.6834
0.900364,	15.9133,	11.1374,	7.43648,	210.689,	89.9539,	32.6459
0.900564,	15.9172,	11.139,	7.43665,	210.656,	89.9022,	32.6085
0.900764,	15.9211,	11.1407,	7.43682,	210.622,	89.8506,	32.5711
0.900964,	15.925,	11.1424,	7.43699,	210.588,	89.7989,	32.5336
0.901164,	15.9288,	11.144,	7.43716,	210.555,	89.7473,	32.4962
0.901364,	15.9327,	11.1457,	7.43732,	210.521,	89.6956,	32.4588
0.901564,	15.9366,	11.1473,	7.43749,	210.487,	89.644,	32.4214
0.901764,	15.9405,	11.149,	7.43766,	210.453,	89.5923,	32.3841
0.901964,	15.9444,	11.1506,	7.43782,	210.42,	89.5407,	32.3467
0.902164,	15.9483,	11.1523,	7.43799,	210.386,	89.489,	32.3094
0.902364,	15.9521,	11.1539,	7.43815,	210.352,	89.4374,	32.2721
0.902564,	15.956,	11.1556,	7.43831,	210.318,	89.3857,	32.2348
0.902764,	15.9599,	11.1572,	7.43847,	210.285,	89.3341,	32.1975
0.902964,	15.9638,	11.1589,	7.43863,	210.251,	89.2824,	32.1603
0.903164,	15.9677,	11.1605,	7.43879,	210.217,	89.2307,	32.123
0.903364,	15.9715,	11.1622,	7.43895,	210.183,	89.1791,	32.0857
0.903564,	15.9754,	11.1638,	7.43911,	210.149,	89.1274,	32.0485
0.903764,	15.9793,	11.1655,	7.43926,	210.115,	89.0757,	32.0113
0.903964,	15.9832,	11.1671,	7.43942,	210.082,	89.0241,	31.9742
0.904164,	15.987,	11.1687,	7.43957,	210.048,	88.9724,	31.937
0.904364,	15.9909,	11.1704,	7.43972,	210.014,	88.9207,	31.8998
0.904564,	15.9948,	11.172,	7.43988,	209.98,	88.8691,	31.8627
0.904764,	15.9987,	11.1737,	7.44003,	209.946,	88.8174,	31.8255
0.904964,	16.0025,	11.1753,	7.44018,	209.912,	88.7657,	31.7884
0.905164,	16.0064,	11.1769,	7.44033,	209.878,	88.714,	31.7513
0.905364,	16.0103,	11.1786,	7.44047,	209.844,	88.6624,	31.7143
0.905564,	16.0141,	11.1802,	7.44062,	209.81,	88.6107,	31.6772
0.905764,	16.018,	11.1818,	7.44077,	209.776,	88.559,	31.6401
0.905964,	16.0219,	11.1835,	7.44091,	209.742,	88.5073,	31.6031
0.906164,	16.0258,	11.1851,	7.44106,	209.708,	88.4556,	31.5661
0.906364,	16.0296,	11.1867,	7.4412,	209.674,	88.4039,	31.5291
0.906564,	16.0335,	11.1884,	7.44134,	209.64,	88.3523,	31.4921
0.906764,	16.0374,	11.19,	7.44148,	209.606,	88.3006,	31.4551
0.906964,	16.0412,	11.1916,	7.44162,	209.572,	88.2489,	31.4182
0.907164,	16.0451,	11.1932,	7.44176,	209.538,	88.1972,	31.3813
0.907363,	16.049,	11.1949,	7.4419,	209.504,	88.1455,	31.3443
0.907563,	16.0528,	11.1965,	7.44204,	209.47,	88.0938,	31.3074
0.907763,	16.0567,	11.1981,	7.44217,	209.436,	88.0421,	31.2705
